hid,atmosphere,cleanliness,facilities,location,security,staff,score
205,8.7,9.3,8.7,9.3,8.7,9.3,9.0
206,7.8,9.0,7.4,8.0,8.6,8.8,8.1
207,8.1,9.1,8.3,9.8,8.7,9.2,8.9
208,9.4,9.9,9.9,9.3,9.8,9.8,9.7
209,8.7,9.3,8.7,8.0,8.7,10.0,8.9
21,8.0,8.4,8.4,8.8,8.8,9.4,8.7
210,6.5,9.5,8.0,7.0,9.0,8.0,7.9
211,9.0,10.0,9.5,7.0,10.0,10.0,9.3
212,6.0,10.0,6.0,10.0,10.0,8.0,8.6
213,9.6,9.6,9.7,9.7,9.6,9.8,9.6
214,8.7,9.3,9.3,8.7,9.2,9.5,9.2
215,7.1,7.7,8.6,9.7,9.1,8.6,8.5
216,2.0,10.0,8.0,8.0,10.0,10.0,7.7
217,9.3,10.0,10.0,7.3,10.0,9.3,9.4
218,9.3,9.8,9.7,8.8,9.5,9.5,9.4
219,9.5,9.7,9.7,9.3,9.7,9.7,9.6
22,8.7,9.3,9.0,9.7,10.0,10.0,9.4
220,9.0,9.0,9.0,8.0,8.0,10.0,8.9
221,8.0,9.5,9.0,8.0,9.0,9.0,8.8
222,8.7,9.7,9.7,8.7,9.7,9.3,9.2
223,6.0,6.0,2.0,8.0,6.0,2.0,5.1
224,9.0,9.7,8.7,8.3,10.0,9.3,9.2
225,10.0,10.0,10.0,10.0,10.0,10.0,10.0
226,9.5,9.6,9.4,8.6,9.3,9.6,9.3
227,9.0,10.0,9.0,8.0,10.0,9.0,9.1
228,8.2,8.9,8.9,9.1,9.6,9.3,9.0
229,4.0,10.0,8.0,8.0,8.0,8.0,7.6
23,7.1,9.1,8.0,9.7,7.1,8.6,8.4
230,8.1,9.5,9.1,8.4,9.4,9.2,9.0
231,8.2,9.2,8.9,8.9,9.4,9.1,9.0
232,8.0,10.0,9.3,9.3,9.7,9.0,9.2
233,8.4,9.2,9.0,9.0,9.3,9.4,9.1
234,9.2,9.8,9.4,9.2,9.4,9.4,9.4
235,8.8,9.6,9.2,10.0,8.8,10.0,9.4
236,8.8,9.7,9.5,7.9,9.2,9.5,9.1
